A5A5A5A5A5A5
   Counter,      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
        35,  2000/1/1,    0:0:52,      0.00,    0,              0,              0,       408,       136,         9,         3,         3,         3,         1,         1,         4,         1,         1,         4,     26.83,42.46,101.90,101.90
        36,  2000/1/1,    0:0:53,      0.00,    0,              0,              0,       429,       140,         9,         3,         3,         3,         1,         1,         4,         1,         1,         4,     26.83,42.43,101.90,101.90
        37,  2000/1/1,    0:0:54,      0.00,    0,              0,              0,       450,       147,         9,         3,         3,         3,         1,         1,         4,         1,         1,         4,     26.84,42.34,101.90,101.90
        38,  2000/1/1,    0:0:55,      0.00,    0,              0,              0,       450,       147,         9,         3,         3,         3,         1,         1,         4,         1,         1,         4,     26.84,42.31,101.90,101.90
        39,  2000/1/1,    0:0:56,      0.00,    0,              0,              0,       450,       147,         9,         3,         3,         3,         1,         1,         4,         1,         1,         4,     26.85,42.53,101.90,101.90
        40,  2000/1/1,    0:0:57,      0.00,    0,              0,              0,       450,       147,         9,         3,         3,         3,         1,         1,         4,         1,         1,         4,     26.85,42.17,101.90,101.90
        41,  2000/1/1,    0:0:58,      0.00,    0,              0,              0,       390,       127,         9,         3,         3,         3,         1,         1,         4,         1,         1,         4,     26.86,41.91,101.90,101.90
        42,  2000/1/1,    0:0:59,      0.00,    0,              0,              0,       402,       131,        12,         6,         6,         6,         1,         1,         6,         1,         1,         6,     26.86,42.60,101.90,101.90
        43,  2000/1/1,     0:1:3,      0.00,    0,              0,              0,       393,       128,        12,         6,         6,         6,         0,         1,         6,         0,         1,         6,     26.87,45.71,101.91,101.91
        44,  2000/1/1,     0:1:4,      0.00,    0,              0,              0,       393,       128,        12,         6,         6,         6,         0,         1,         6,         0,         1,         6,     26.88,47.21,101.91,101.91
        45,  2000/1/1,     0:1:5,      0.00,    0,              0,              0,       402,       131,         9,         3,         3,         3,         1,         1,         4,         1,         1,         4,     26.88,46.73,101.91,101.91
        46,  2000/1/1,     0:1:6,      0.00,    0,              0,              0,       402,       131,         6,         3,         3,         3,         1,         1,         4,         1,         1,         4,     26.89,45.97,101.91,101.91
        47,  2000/1/1,     0:1:7,      0.00,    0,              0,              0,       402,       131,         6,         3,         3,         3,         1,         1,         4,         1,         1,         4,     26.90,46.68,101.91,101.91
        48,  2000/1/1,     0:1:8,      0.00,    0,              0,              0,       363,       118,         6,         3,         3,         3,         1,         1,         3,         1,         1,         3,     26.90,46.14,101.91,101.91
        49,  2000/1/1,     0:1:9,      0.00,    0,              0,              0,       363,       118,         6,         3,         3,         3,         1,         1,         3,         1,         1,         3,     26.91,45.22,101.91,101.91
        50,  2000/1/1,    0:1:10,      0.00,    0,              0,              0,       372,       124,        12,         3,         3,         3,         1,         1,         4,         1,         1,         4,     26.92,44.68,101.91,101.91
        51,  2000/1/1,    0:1:11,      0.00,    0,              0,              0,       411,       137,        12,         3,         3,         3,         1,         2,         5,         1,         2,         5,     26.92,44.81,101.92,101.92
        52,  2000/1/1,    0:1:12,      0.00,    0,              0,              0,       411,       137,        12,         3,         3,         3,         1,         2,         5,         1,         2,         5,     26.93,46.22,101.92,101.92
        53,  2000/1/1,    0:1:13,      0.00,    0,              0,              0,       420,       140,        12,         3,         3,         3,         1,         2,         5,         1,         2,         5,     26.93,48.31,101.92,101.92
        54,  2000/1/1,    0:1:14,      0.00,    0,              0,              0,       420,       140,        12,         3,         3,         3,         1,         2,         5,         1,         2,         5,     26.94,49.05,101.92,101.92
        55,  2000/1/1,    0:1:15,      0.00,    0,              0,              0,       450,       150,         9,         3,         3,         3,         1,         2,         5,         1,         2,         5,     26.95,48.69,101.92,101.92
        56,  2000/1/1,    0:1:16,      0.00,    0,              0,              0,       399,       133,         6,         0,         0,         0,         1,         2,         2,         1,         2,         2,     26.95,48.55,101.92,101.92
        57,  2000/1/1,    0:1:17,      0.00,    0,              0,              0,       399,       133,         6,         0,         0,         0,         1,         2,         2,         1,         2,         2,     26.96,49.30,101.92,101.92
        58,  2000/1/1,    0:1:18,      0.00,    0,              0,              0,       438,       143,         6,         0,         0,         0,         1,         2,         2,         1,         2,         2,     26.96,48.52,101.92,101.92
        59,  2000/1/1,    0:1:19,      0.00,    0,              0,              0,       438,       143,         6,         0,         0,         0,         1,         2,         2,         1,         2,         2,     26.97,47.46,101.92,101.92
        60,  2000/1/1,    0:1:20,      0.00,    0,              0,              0,       438,       143,         6,         0,         0,         0,         1,         2,         2,         1,         2,         2,     26.98,48.87,101.92,101.92
        61,  2000/1/1,    0:1:21,      0.00,    0,              0,              0,       420,       137,         6,         0,         0,         0,         1,         1,         1,         1,         1,         1,     26.98,48.87,101.92,101.92
        62,  2000/1/1,    0:1:22,      0.00,    0,              0,              0,       420,       137,         6,         0,         0,         0,         1,         1,         1,         1,         1,         1,     26.99,49.35,101.92,101.92
