A5A5A5A5A5A5
   Counter,      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
         0,  2000/1/1,    0:0:15,      0.00,    0,              0,              0,       846,       252,        69,        36,         3,         3,         3,        12,        15,         3,        12,        15,     26.69,43.12,101.81,101.81
         1,  2000/1/1,    0:0:16,      0.00,    0,              0,              0,       864,       258,        72,        36,         3,         3,         3,        13,        15,         3,        13,        15,     26.70,43.24,101.81,101.81
         2,  2000/1/1,    0:0:17,      0.00,    0,              0,              0,       900,       258,        75,        36,         3,         3,         3,        13,        15,         3,        13,        15,     26.72,42.51,101.81,101.81
         3,  2000/1/1,    0:0:18,      0.00,    0,              0,              0,       909,       264,        78,        39,         6,         3,         3,        13,        17,         3,        13,        17,     26.73,41.99,101.81,101.81
         4,  2000/1/1,    0:0:19,      0.00,    0,              0,              0,       972,       285,       102,        45,         6,         3,         3,        15,        20,         3,        15,        20,     26.74,42.04,101.81,101.81
         5,  2000/1/1,    0:0:20,      0.00,    0,              0,              0,       927,       273,        99,        45,         6,         3,         3,        15,        20,         3,        15,        20,     26.75,42.17,101.81,101.81
         6,  2000/1/1,    0:0:21,      0.00,    0,              0,              0,       909,       267,       102,        45,         6,         3,         3,        15,        20,         3,        15,        20,     26.77,42.57,101.82,101.82
         7,  2000/1/1,    0:0:22,      0.00,    0,              0,              0,       909,       267,       102,        45,         6,         3,         3,        15,        20,         3,        15,        20,     26.78,43.36,101.82,101.82
         8,  2000/1/1,    0:0:23,      0.00,    0,              0,              0,       837,       246,        93,        42,         6,         3,         2,        14,        18,         2,        14,        18,     26.79,43.69,101.82,101.82
         9,  2000/1/1,    0:0:24,      0.00,    0,              0,              0,       837,       246,        93,        42,         6,         3,         2,        14,        18,         2,        14,        18,     26.80,43.43,101.82,101.82
        10,  2000/1/1,    0:0:25,      0.00,    0,              0,              0,       828,       240,        84,        39,         6,         3,         2,        12,        17,         2,        12,        17,     26.81,42.81,101.82,101.82
        11,  2000/1/1,    0:0:26,      0.00,    0,              0,              0,       747,       216,        78,        36,         6,         3,         2,        12,        15,         2,        12,        15,     26.82,42.43,101.82,101.82
        12,  2000/1/1,    0:0:27,      0.00,    0,              0,              0,       747,       216,        78,        36,         6,         3,         2,        12,        15,         2,        12,        15,     26.84,42.25,101.82,101.82
        13,  2000/1/1,    0:0:28,      0.00,    0,              0,              0,       756,       219,        72,        33,         6,         3,         2,        11,        15,         2,        11,        15,     26.85,42.09,101.82,101.82
        14,  2000/1/1,    0:0:29,      0.00,    0,              0,              0,       756,       219,        72,        33,         6,         3,         2,        11,        15,         2,        11,        15,     26.86,42.00,101.82,101.82
        15,  2000/1/1,    0:0:30,      0.00,    0,              0,              0,       720,       219,        63,        27,         6,         3,         2,        10,        13,         2,        10,        13,     26.87,41.61,101.82,101.82
        16,  2000/1/1,    0:0:34,      0.00,    0,              0,              0,       540,       162,        24,        12,         3,         3,         1,         4,         7,         1,         4,         7,     26.88,41.45,101.82,101.82
        17,  2000/1/1,    0:0:35,      0.00,    0,              0,              0,       522,       156,        21,         9,         3,         3,         1,         3,         6,         1,         3,         6,     26.89,41.24,101.82,101.82
        18,  2000/1/1,    0:0:36,      0.00,    0,              0,              0,       522,       156,        21,         9,         3,         3,         1,         3,         6,         1,         3,         6,     26.90,41.19,101.82,101.82
        19,  2000/1/1,    0:0:37,      0.00,    0,              0,              0,       567,       171,        15,         6,         3,         3,         2,         3,         5,         2,         3,         5,     26.91,41.07,101.83,101.83
        20,  2000/1/1,    0:0:38,      0.00,    0,              0,              0,       567,       171,        15,         6,         3,         3,         2,         3,         5,         2,         3,         5,     26.92,40.67,101.83,101.83
        21,  2000/1/1,    0:0:39,      0.00,    0,              0,              0,       540,       165,         9,         3,         3,         3,         2,         2,         5,         2,         2,         5,     26.93,40.52,101.83,101.83
        22,  2000/1/1,    0:0:40,      0.00,    0,              0,              0,       531,       165,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2,     26.94,40.76,101.83,101.83
        23,  2000/1/1,    0:0:41,      0.00,    0,              0,              0,       531,       165,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2,     26.96,40.87,101.83,101.83
        24,  2000/1/1,    0:0:42,      0.00,    0,              0,              0,       540,       171,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2,     26.96,40.26,101.83,101.83
        25,  2000/1/1,    0:0:43,      0.00,    0,              0,              0,       540,       171,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2,     26.97,39.40,101.83,101.83
        26,  2000/1/1,    0:0:44,      0.00,    0,              0,              0,       549,       174,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2,     26.98,38.78,101.83,101.83
        27,  2000/1/1,    0:0:45,      0.00,    0,              0,              0,       495,       162,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2,     26.99,38.13,101.83,101.83
        28,  2000/1/1,    0:0:46,      0.00,    0,              0,              0,       495,       162,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.00,37.98,101.83,101.83
        29,  2000/1/1,    0:0:47,      0.00,    0,              0,              0,       477,       156,         9,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.00,38.02,101.83,101.83
        30,  2000/1/1,    0:0:48,      0.00,    0,              0,              0,       477,       156,         9,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.01,38.14,101.83,101.83
        31,  2000/1/1,    0:0:49,      0.00,    0,              0,              0,       468,       153,         3,         0,         0,         0,         1,         1,         1,         1,         1,         1,     27.02,38.32,101.83,101.83
        32,  2000/1/1,    0:0:50,      0.00,    0,              0,              0,       459,       150,         3,         0,         0,         0,         1,         1,         1,         1,         1,         1,     27.03,38.66,101.83,101.83
        33,  2000/1/1,    0:0:51,      0.00,    0,              0,              0,       459,       150,         3,         0,         0,         0,         1,         1,         1,         1,         1,         1,     27.03,38.87,101.83,101.83
        34,  2000/1/1,    0:0:52,      0.00,    0,              0,              0,       495,       159,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.04,38.92,101.83,101.83
        35,  2000/1/1,    0:0:53,      0.00,    0,              0,              0,       495,       159,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.05,39.02,101.83,101.83
        36,  2000/1/1,    0:0:54,      0.00,    0,              0,              0,       450,       144,        12,         0,         0,         0,         1,         2,         2,         1,         2,         2,     27.06,38.71,101.83,101.83
        37,  2000/1/1,    0:0:55,      0.00,    0,              0,              0,       477,       153,        12,         0,         0,         0,         1,         2,         2,         1,         2,         2,     27.06,37.76,101.83,101.83
        38,  2000/1/1,    0:0:56,      0.00,    0,              0,              0,       477,       153,        12,         0,         0,         0,         1,         2,         2,         1,         2,         2,     27.07,37.24,101.83,101.83
