A5A5A5A5A5A5,,,,,,,,,,,,,,,,,,,,,,
Counter,      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
39,  2000/1/1,    0:0:57,0,0,0,0,327,105,6,0,0,0,0,1,1,0,1,1,26.58,41.73,101.84,101.84
40,  2000/1/1,    0:0:58,0,0,0,0,327,105,6,0,0,0,0,1,1,0,1,1,26.58,41.68,101.84,101.84
41,  2000/1/1,    0:0:59,0,0,0,0,372,124,6,0,0,0,1,1,1,1,1,1,26.59,41.22,101.84,101.84
42,  2000/1/1,     0:1:0,0,0,0,0,417,139,6,0,0,0,1,1,1,1,1,1,26.59,40.96,101.84,101.84
43,  2000/1/1,     0:1:4,0,0,0,0,405,128,3,0,0,0,1,1,1,1,1,1,26.6,40.89,101.84,101.84
44,  2000/1/1,     0:1:5,0,0,0,0,393,124,3,0,0,0,1,1,1,1,1,1,26.6,40.82,101.85,101.85
45,  2000/1/1,     0:1:6,0,0,0,0,393,124,3,0,0,0,1,1,1,1,1,1,26.61,40.43,101.85,101.85
46,  2000/1/1,     0:1:7,0,0,0,0,417,132,3,0,0,0,1,1,1,1,1,1,26.62,40.73,101.85,101.85
47,  2000/1/1,     0:1:8,0,0,0,0,417,132,3,0,0,0,1,1,1,1,1,1,26.62,41.11,101.85,101.85
48,  2000/1/1,     0:1:9,0,0,0,0,396,121,0,0,0,0,0,0,0,0,0,0,26.63,41.47,101.85,101.85
49,  2000/1/1,    0:1:10,0,0,0,0,384,117,0,0,0,0,0,0,0,0,0,0,26.64,41.55,101.85,101.85
50,  2000/1/1,    0:1:11,0,0,0,0,384,117,0,0,0,0,0,0,0,0,0,0,26.64,41.18,101.85,101.85
51,  2000/1/1,    0:1:12,0,0,0,0,384,117,0,0,0,0,0,0,0,0,0,0,26.65,41.37,101.85,101.85
52,  2000/1/1,    0:1:13,0,0,0,0,384,117,0,0,0,0,0,0,0,0,0,0,26.66,41.68,101.85,101.85
53,  2000/1/1,    0:1:14,0,0,0,0,339,102,0,0,0,0,0,0,0,0,0,0,26.66,41.92,101.85,101.85
54,  2000/1/1,    0:1:15,0,0,0,0,339,102,0,0,0,0,0,0,0,0,0,0,26.67,41.56,101.86,101.86
55,  2000/1/1,    0:1:16,0,0,0,0,270,79,0,0,0,0,0,0,0,0,0,0,26.67,41.1,101.86,101.86
56,  2000/1/1,    0:1:17,0,0,0,0,192,53,0,0,0,0,0,0,0,0,0,0,26.68,41.24,101.86,101.86
57,  2000/1/1,    0:1:18,0,0,0,0,192,53,0,0,0,0,0,0,0,0,0,0,26.68,41.49,101.86,101.86
58,  2000/1/1,    0:1:19,0,0,0,0,168,49,0,0,0,0,0,0,0,0,0,0,26.69,41.56,101.86,101.86
59,  2000/1/1,    0:1:20,0,0,0,0,168,49,0,0,0,0,0,0,0,0,0,0,26.7,41.71,101.86,101.86
60,  2000/1/1,    0:1:21,0,0,0,0,159,49,0,0,0,0,0,0,0,0,0,0,26.7,41.01,101.86,101.86
61,  2000/1/1,    0:1:22,0,0,0,0,171,53,0,0,0,0,0,0,0,0,0,0,26.71,40.22,101.86,101.86
62,  2000/1/1,    0:1:23,0,0,0,0,171,53,0,0,0,0,0,0,0,0,0,0,26.71,40.02,101.86,101.86
63,  2000/1/1,    0:1:24,0,0,0,0,183,57,7,0,0,0,0,0,0,0,0,0,26.72,39.92,101.86,101.86
64,  2000/1/1,    0:1:25,0,0,0,0,183,57,7,0,0,0,0,0,0,0,0,0,26.72,39.21,101.86,101.86
65,  2000/1/1,    0:1:26,0,0,0,0,126,42,7,0,0,0,0,0,0,0,0,0,26.73,38.28,101.86,101.86
66,  2000/1/1,    0:1:27,0,0,0,0,162,54,10,0,0,0,0,0,0,0,0,0,26.73,38.23,101.86,101.86
67,  2000/1/1,    0:1:28,0,0,0,0,162,54,10,0,0,0,0,0,0,0,0,0,26.73,38.28,101.86,101.86
68,  2000/1/1,    0:1:29,0,0,0,0,186,62,10,0,0,0,0,0,0,0,0,0,26.74,38.23,101.86,101.86
69,  2000/1/1,    0:1:30,0,0,0,0,186,62,10,0,0,0,0,0,0,0,0,0,26.74,38.45,101.86,101.86
70,  2000/1/1,    0:1:34,0,0,0,0,228,72,13,3,3,3,0,0,3,0,0,3,26.75,38.7,101.86,101.86
71,  2000/1/1,    0:1:35,0,0,0,0,228,72,13,3,3,3,0,0,3,0,0,3,26.76,38.97,101.86,101.86
72,  2000/1/1,    0:1:36,0,0,0,0,321,103,16,3,3,3,1,1,4,1,1,4,26.76,38.83,101.86,101.86
73,  2000/1/1,    0:1:37,0,0,0,0,321,103,16,3,3,3,1,1,4,1,1,4,26.77,38.69,101.86,101.86
74,  2000/1/1,    0:1:38,0,0,0,0,354,114,16,3,3,3,2,2,5,2,2,5,26.78,38.67,101.86,101.86
75,  2000/1/1,    0:1:39,0,0,0,0,354,114,16,3,3,3,2,2,5,2,2,5,26.79,38.5,101.86,101.86
76,  2000/1/1,    0:1:40,0,0,0,0,354,114,16,3,3,3,2,2,5,2,2,5,26.79,38.43,101.86,101.86
77,  2000/1/1,    0:1:41,0,0,0,0,309,99,9,3,3,3,0,0,3,0,0,3,26.8,38.14,101.86,101.86
78,  2000/1/1,    0:1:42,0,0,0,0,309,99,9,3,3,3,0,0,3,0,0,3,26.8,37.97,101.86,101.86
79,  2000/1/1,    0:1:43,0,0,0,0,318,102,9,3,3,3,0,0,3,0,0,3,26.81,38.13,101.86,101.86
80,  2000/1/1,    0:1:44,0,0,0,0,318,102,6,3,3,3,0,0,3,0,0,3,26.82,38.24,101.86,101.86
81,  2000/1/1,    0:1:45,0,0,0,0,318,102,6,3,3,3,0,0,3,0,0,3,26.82,39.44,101.86,101.86
82,  2000/1/1,    0:1:46,0,0,0,0,306,98,6,3,3,3,0,0,3,0,0,3,26.83,39.99,101.86,101.86
83,  2000/1/1,    0:1:47,0,0,0,0,306,98,6,3,3,3,0,0,3,0,0,3,26.83,39.97,101.86,101.86
84,  2000/1/1,    0:1:48,0,0,0,0,342,110,13,3,3,3,0,1,4,0,1,4,26.84,40.75,101.86,101.86
85,  2000/1/1,    0:1:49,0,0,0,0,354,118,13,3,3,3,0,1,4,0,1,4,26.85,41.88,101.86,101.86
86,  2000/1/1,    0:1:50,0,0,0,0,354,118,13,3,3,3,0,1,4,0,1,4,26.85,42.16,101.86,101.86
87,  2000/1/1,    0:1:51,0,0,0,0,366,122,10,0,0,0,1,1,1,1,1,1,26.86,42.26,101.86,101.86
88,  2000/1/1,    0:1:52,0,0,0,0,366,122,10,0,0,0,1,1,1,1,1,1,26.87,40.94,101.86,101.86
89,  2000/1/1,    0:1:53,0,0,0,0,261,87,7,0,0,0,0,0,0,0,0,0,26.87,40.05,101.86,101.86
90,  2000/1/1,    0:1:54,0,0,0,0,285,95,7,0,0,0,0,0,0,0,0,0,26.88,39.07,101.86,101.86
91,  2000/1/1,    0:1:55,0,0,0,0,285,95,7,0,0,0,0,0,0,0,0,0,26.88,39.01,101.86,101.86
92,  2000/1/1,    0:1:56,0,0,0,0,297,99,7,0,0,0,0,0,0,0,0,0,26.89,38.42,101.86,101.86
93,  2000/1/1,    0:1:57,0,0,0,0,297,99,7,0,0,0,0,0,0,0,0,0,26.89,38.35,101.86,101.86
94,  2000/1/1,    0:1:58,0,0,0,0,318,106,14,0,0,0,0,1,1,0,1,1,26.9,38.19,101.86,101.86
95,  2000/1/1,    0:1:59,0,0,0,0,318,106,14,0,0,0,0,1,1,0,1,1,26.9,37.76,101.86,101.86
96,  2000/1/1,     0:2:0,0,0,0,0,330,110,14,0,0,0,0,1,1,0,1,1,26.91,37.83,101.86,101.86
97,  2000/1/1,     0:2:4,0,0,0,0,330,110,21,0,0,0,0,1,1,0,1,1,26.92,38.27,101.86,101.86
98,  2000/1/1,     0:2:5,0,0,0,0,318,98,14,0,0,0,1,1,1,1,1,1,26.93,38.33,101.86,101.86
99,  2000/1/1,     0:2:6,0,0,0,0,294,90,14,0,0,0,1,1,1,1,1,1,26.93,38.17,101.86,101.86
100,  2000/1/1,     0:2:7,0,0,0,0,294,90,14,0,0,0,1,1,1,1,1,1,26.94,38.26,101.86,101.86
101,  2000/1/1,     0:2:8,0,0,0,0,282,86,14,0,0,0,0,0,0,0,0,0,26.95,38.16,101.86,101.86
102,  2000/1/1,     0:2:9,0,0,0,0,282,86,14,0,0,0,0,0,0,0,0,0,26.95,38.38,101.86,101.86
103,  2000/1/1,    0:2:10,0,0,0,0,306,94,14,0,0,0,0,0,0,0,0,0,26.96,38.52,101.86,101.86
104,  2000/1/1,    0:2:11,0,0,0,0,294,90,14,0,0,0,0,0,0,0,0,0,26.97,38.79,101.86,101.86
105,  2000/1/1,    0:2:12,0,0,0,0,294,90,14,0,0,0,0,0,0,0,0,0,26.97,38.95,101.86,101.86
106,  2000/1/1,    0:2:13,0,0,0,0,294,90,14,0,0,0,0,0,0,0,0,0,26.98,39.21,101.86,101.86
107,  2000/1/1,    0:2:14,0,0,0,0,294,90,14,0,0,0,0,0,0,0,0,0,26.99,39.3,101.86,101.86
108,  2000/1/1,    0:2:15,0,0,0,0,294,90,7,0,0,0,0,0,0,0,0,0,26.99,39.3,101.86,101.86
109,  2000/1/1,    0:2:16,0,0,0,0,282,86,7,0,0,0,0,0,0,0,0,0,27,38.83,101.86,101.86
110,  2000/1/1,    0:2:17,0,0,0,0,282,86,7,0,0,0,0,0,0,0,0,0,27.01,38.82,101.86,101.86
111,  2000/1/1,    0:2:18,0,0,0,0,306,94,7,0,0,0,0,0,0,0,0,0,27.01,38.21,101.86,101.86
112,  2000/1/1,    0:2:19,0,0,0,0,306,94,7,0,0,0,0,0,0,0,0,0,27.02,37.61,101.85,101.85
113,  2000/1/1,    0:2:20,0,0,0,0,258,75,0,0,0,0,0,0,0,0,0,0,27.02,36.87,101.85,101.85
114,  2000/1/1,    0:2:21,0,0,0,0,258,75,0,0,0,0,0,0,0,0,0,0,27.03,36.5,101.85,101.85
115,  2000/1/1,    0:2:22,0,0,0,0,222,71,0,0,0,0,0,0,0,0,0,0,27.04,36.6,101.85,101.85
116,  2000/1/1,    0:2:23,0,0,0,0,339,106,0,0,0,0,0,0,0,0,0,0,27.04,36.29,101.85,101.85
117,  2000/1/1,    0:2:24,0,0,0,0,339,106,0,0,0,0,0,0,0,0,0,0,27.05,36.18,101.85,101.85
118,  2000/1/1,    0:2:25,0,0,0,0,363,114,0,0,0,0,0,0,0,0,0,0,27.06,36.25,101.85,101.85
119,  2000/1/1,    0:2:26,0,0,0,0,363,114,0,0,0,0,0,0,0,0,0,0,27.06,36.55,101.85,101.85
120,  2000/1/1,    0:2:27,0,0,0,0,351,110,0,0,0,0,0,0,0,0,0,0,27.07,36.62,101.85,101.85
121,  2000/1/1,    0:2:28,0,0,0,0,327,102,0,0,0,0,0,0,0,0,0,0,27.07,36.7,101.85,101.85
122,  2000/1/1,    0:2:29,0,0,0,0,327,102,0,0,0,0,0,0,0,0,0,0,27.08,36.62,101.85,101.85
123,  2000/1/1,    0:2:30,0,0,0,0,327,98,0,0,0,0,0,0,0,0,0,0,27.09,37.06,101.85,101.85
124,  2000/1/1,    0:2:34,0,0,0,0,327,98,0,0,0,0,1,1,1,1,1,1,27.09,37.7,101.85,101.85
125,  2000/1/1,    0:2:35,0,0,0,0,327,98,0,0,0,0,0,0,0,0,0,0,27.1,37.63,101.85,101.85
126,  2000/1/1,    0:2:36,0,0,0,0,327,98,0,0,0,0,0,0,0,0,0,0,27.11,38.14,101.85,101.85
127,  2000/1/1,    0:2:37,0,0,0,0,363,113,0,0,0,0,0,0,0,0,0,0,27.11,37.92,101.85,101.85
128,  2000/1/1,    0:2:38,0,0,0,0,423,133,0,0,0,0,1,1,1,1,1,1,27.12,37.79,101.85,101.85
129,  2000/1/1,    0:2:39,0,0,0,0,423,133,0,0,0,0,1,1,1,1,1,1,27.13,38.13,101.85,101.85
130,  2000/1/1,    0:2:40,0,0,0,0,330,106,0,0,0,0,0,0,0,0,0,0,27.13,38.17,101.85,101.85
