A5A5A5A5A5A5
   Counter,      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
         0,  2025/7/4,    20:0:0,      0.00,    0,              0,              0,      1065,       334,        71,        36,         0,         0,         5,        15,        17,         5,        15,        17,     27.16,45.29,101.90,101.90
         1,  2025/7/4,    20:0:1,      0.00,    0,              0,              0,      1086,       341,        64,        36,         0,         0,         5,        15,        18,         5,        15,        18,     27.17,44.74,101.90,101.90
         2,  2025/7/4,    20:0:2,      0.00,    0,              0,              0,      1023,       316,        57,        33,         0,         0,         5,        14,        15,         5,        14,        15,     27.18,44.50,101.90,101.90
         3,  2025/7/4,    20:0:3,      0.00,    0,              0,              0,       876,       268,        47,        33,         0,         0,         4,        12,        14,         4,        12,        14,     27.19,44.38,101.90,101.90
         4,  2025/7/4,    20:0:4,      0.00,    0,              0,              0,       786,       244,        40,        30,         0,         0,         4,        12,        12,         4,        12,        12,     27.20,44.58,101.91,101.91
         5,  2025/7/4,    20:0:5,      0.00,    0,              0,              0,       816,       254,        43,        30,         0,         0,         4,        13,        13,         4,        13,        13,     27.21,45.68,101.91,101.91
         6,  2025/7/4,    20:0:6,      0.00,    0,              0,              0,       681,       216,        39,        30,         0,         0,         3,        12,        12,         3,        12,        12,     27.22,46.28,101.91,101.91
         7,  2025/7/4,    20:0:7,      0.00,    0,              0,              0,       681,       216,        39,        30,         0,         0,         2,        11,        11,         2,        11,        11,     27.23,46.71,101.91,101.91
         8,  2025/7/4,    20:0:8,      0.00,    0,              0,              0,       639,       206,        36,        27,         0,         0,         2,        10,        10,         2,        10,        10,     27.25,46.53,101.91,101.91
         9,  2025/7/4,    20:0:9,      0.00,    0,              0,              0,       639,       206,        36,        27,         0,         0,         2,        10,        10,         2,        10,        10,     27.26,45.64,101.92,101.92
        10,  2025/7/4,   20:0:10,      0.00,    0,              0,              0,       618,       199,        36,        27,         0,         0,         2,         9,        10,         2,         9,        10,     27.26,45.39,101.92,101.92
        11,  2025/7/4,   20:0:11,      0.00,    0,              0,              0,       588,       189,        33,        24,         0,         0,         1,         8,         9,         1,         8,         9,     27.27,45.22,101.92,101.92
        12,  2025/7/4,   20:0:12,      0.00,    0,              0,              0,       588,       189,        33,        24,         0,         0,         1,         8,         9,         1,         8,         9,     27.28,45.18,101.92,101.92
        13,  2025/7/4,   20:0:13,      0.00,    0,              0,              0,       609,       186,        30,        21,         0,         0,         2,         8,         9,         2,         8,         9,     27.29,45.12,101.92,101.92
        14,  2025/7/4,   20:0:14,      0.00,    0,              0,              0,       609,       186,        30,        21,         0,         0,         2,         8,         9,         2,         8,         9,     27.30,45.03,101.92,101.92
        15,  2025/7/4,   20:0:15,      0.00,    0,              0,              0,       576,       179,        27,        18,         0,         0,         2,         7,         8,         2,         7,         8,     27.30,44.81,101.92,101.92
        16,  2025/7/4,   20:0:19,      0.00,    0,              0,              0,       618,       189,        21,        12,         0,         0,         3,         6,         7,         3,         6,         7,     27.31,44.49,101.92,101.92
        17,  2025/7/4,   20:0:20,      0.00,    0,              0,              0,       576,       175,        18,         9,         0,         0,         2,         5,         6,         2,         5,         6,     27.32,44.45,101.92,101.92
        18,  2025/7/4,   20:0:21,      0.00,    0,              0,              0,       576,       175,        18,         9,         0,         0,         2,         5,         6,         2,         5,         6,     27.32,44.37,101.92,101.92
        19,  2025/7/4,   20:0:22,      0.00,    0,              0,              0,       504,       151,        12,         6,         0,         0,         2,         3,         4,         2,         3,         4,     27.33,44.31,101.92,101.92
        20,  2025/7/4,   20:0:23,      0.00,    0,              0,              0,       525,       151,         9,         3,         0,         0,         2,         2,         5,         2,         2,         5,     27.34,44.33,101.92,101.92
        21,  2025/7/4,   20:0:24,      0.00,    0,              0,              0,       525,       151,         9,         3,         0,         0,         2,         2,         5,         2,         2,         5,     27.35,44.22,101.92,101.92
        22,  2025/7/4,   20:0:25,      0.00,    0,              0,              0,       555,       161,         9,         3,         0,         0,         3,         3,         4,         3,         3,         4,     27.35,44.12,101.92,101.92
        23,  2025/7/4,   20:0:26,      0.00,    0,              0,              0,       555,       161,         9,         3,         0,         0,         3,         3,         4,         3,         3,         4,     27.36,44.73,101.92,101.92
        24,  2025/7/4,   20:0:27,      0.00,    0,              0,              0,       555,       161,         3,         0,         0,         0,         3,         3,         3,         3,         3,         3,     27.36,44.02,101.92,101.92
        25,  2025/7/4,   20:0:28,      0.00,    0,              0,              0,       555,       161,         3,         0,         0,         0,         3,         3,         3,         3,         3,         3,     27.37,43.16,101.92,101.92
        26,  2025/7/4,   20:0:29,      0.00,    0,              0,              0,       555,       161,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.38,42.30,101.92,101.92
        27,  2025/7/4,   20:0:30,      0.00,    0,              0,              0,       471,       143,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.38,41.33,101.92,101.92
