dt,S1,S2,S3,S5,S6,network_min,network_max,network_mean,network_range
2025-07-04 20:01:04,0.0,1.0,1.0,1.5,4.0,0.0,4.0,1.5,4.0
2025-07-04 20:01:05,0.0,2.0,2.0,1.5,3.0,0.0,3.0,1.7,3.0
2025-07-04 20:01:06,0.0,2.0,2.0,0.5,3.0,0.0,3.0,1.5,3.0
2025-07-04 20:01:07,0.0,1.0,2.0,0.5,4.0,0.0,4.0,1.5,4.0
2025-07-04 20:01:08,0.0,1.0,2.0,0.5,4.0,0.0,4.0,1.5,4.0
2025-07-04 20:01:09,0.0,1.0,2.0,0.5,4.0,0.0,4.0,1.5,4.0
2025-07-04 20:01:10,0.0,1.0,2.0,1.5,3.0,0.0,3.0,1.5,3.0
2025-07-04 20:01:11,0.0,1.0,2.0,1.0,3.0,0.0,3.0,1.4,3.0
2025-07-04 20:01:12,1.0,1.0,2.0,1.5,3.0,1.0,3.0,1.7,2.0
2025-07-04 20:01:13,1.0,1.0,2.0,1.5,3.0,1.0,3.0,1.7,2.0
2025-07-04 20:01:14,2.0,2.0,2.0,1.5,3.0,1.5,3.0,2.1,1.5
2025-07-04 20:01:15,2.0,3.0,2.0,1.5,3.0,1.5,3.0,2.3,1.5
2025-07-04 20:01:16,2.0,3.0,1.0,1.5,4.0,1.0,4.0,2.3,3.0
2025-07-04 20:01:17,0.0,1.0,1.0,1.5,4.0,0.0,4.0,1.5,4.0
2025-07-04 20:01:18,0.0,1.0,1.0,1.5,4.0,0.0,4.0,1.5,4.0
2025-07-04 20:01:19,0.0,1.0,1.0,1.5,4.0,0.0,4.0,1.5,4.0
2025-07-04 20:01:20,0.0,1.0,1.0,1.0,4.0,0.0,4.0,1.4,4.0
2025-07-04 20:01:21,0.0,1.0,1.0,1.0,4.0,0.0,4.0,1.4,4.0
2025-07-04 20:01:22,0.0,1.0,1.0,1.5,4.0,0.0,4.0,1.5,4.0
2025-07-04 20:01:23,0.0,2.0,1.0,1.5,4.0,0.0,4.0,1.7,4.0
2025-07-04 20:01:24,1.0,2.0,1.0,1.0,4.0,1.0,4.0,1.8,3.0
2025-07-04 20:01:25,1.0,2.0,1.0,0.5,4.0,0.5,4.0,1.7,3.5
2025-07-04 20:01:26,1.0,2.0,2.0,0.5,4.0,0.5,4.0,1.9,3.5
2025-07-04 20:01:27,1.0,2.0,2.0,0.5,5.0,0.5,5.0,2.1,4.5
2025-07-04 20:01:28,1.0,2.0,2.0,0.5,5.0,0.5,5.0,2.1,4.5
2025-07-04 20:01:29,0.0,2.0,2.0,0.5,5.0,0.0,5.0,1.9,5.0
2025-07-04 20:01:30,0.0,2.0,2.0,0.0,5.0,0.0,5.0,1.8,5.0
2025-07-04 20:01:31,0.0,0.0,2.0,0.0,4.0,0.0,4.0,1.2,4.0
2025-07-04 20:01:32,0.0,0.0,2.0,0.0,4.0,0.0,4.0,1.2,4.0
2025-07-04 20:01:33,0.0,0.0,2.0,0.0,3.0,0.0,3.0,1.0,3.0
2025-07-04 20:01:34,1.0,1.0,2.0,0.0,3.0,0.0,3.0,1.4,3.0
2025-07-04 20:01:35,1.0,1.0,2.0,0.0,3.0,0.0,3.0,1.4,3.0
2025-07-04 20:01:36,1.0,1.0,2.0,0.5,2.0,0.5,2.0,1.3,1.5
2025-07-04 20:01:37,1.0,1.0,2.0,0.5,3.0,0.5,3.0,1.5,2.5
2025-07-04 20:01:38,1.0,2.0,1.0,1.0,3.0,1.0,3.0,1.6,2.0
2025-07-04 20:01:39,1.0,2.0,1.0,1.0,3.0,1.0,3.0,1.6,2.0
2025-07-04 20:01:40,1.0,3.0,1.0,1.0,3.0,1.0,3.0,1.8,2.0
2025-07-04 20:01:41,0.0,1.0,1.0,0.5,3.0,0.0,3.0,1.1,3.0
2025-07-04 20:01:42,0.0,1.0,1.0,0.5,3.0,0.0,3.0,1.1,3.0
2025-07-04 20:01:43,0.0,1.0,1.0,0.5,3.0,0.0,3.0,1.1,3.0
2025-07-04 20:01:44,0.0,1.0,1.0,1.0,3.0,0.0,3.0,1.2,3.0
2025-07-04 20:01:45,0.0,2.0,1.0,1.0,3.0,0.0,3.0,1.4,3.0
2025-07-04 20:01:46,0.0,2.0,1.0,1.0,3.0,0.0,3.0,1.4,3.0
2025-07-04 20:01:47,0.0,2.0,1.0,1.0,3.0,0.0,3.0,1.4,3.0
2025-07-04 20:01:48,0.0,2.0,1.0,1.0,3.0,0.0,3.0,1.4,3.0
2025-07-04 20:01:49,0.0,2.0,1.0,1.0,3.0,0.0,3.0,1.4,3.0
2025-07-04 20:01:50,0.0,1.0,1.0,1.0,3.0,0.0,3.0,1.2,3.0
2025-07-04 20:01:51,0.0,2.0,1.0,1.0,3.0,0.0,3.0,1.4,3.0
2025-07-04 20:01:52,0.0,2.0,1.0,1.0,2.0,0.0,2.0,1.2,2.0
2025-07-04 20:01:53,0.0,2.0,1.0,1.0,2.0,0.0,2.0,1.2,2.0
2025-07-04 20:01:54,0.0,2.0,1.0,1.0,2.0,0.0,2.0,1.2,2.0
2025-07-04 20:01:55,0.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0
2025-07-04 20:01:56,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.2,2.0
2025-07-04 20:01:57,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.2,2.0
2025-07-04 20:01:58,0.0,1.0,1.0,1.5,2.0,0.0,2.0,1.1,2.0
2025-07-04 20:01:59,0.0,1.0,1.0,1.5,2.0,0.0,2.0,1.1,2.0
2025-07-04 20:02:00,0.0,2.0,1.0,1.5,1.0,0.0,2.0,1.1,2.0
2025-07-04 20:02:01,0.0,2.0,1.0,2.0,1.0,0.0,2.0,1.2,2.0
2025-07-04 20:02:02,0.0,2.0,1.0,2.0,2.0,0.0,2.0,1.4,2.0
2025-07-04 20:02:03,0.0,1.0,1.0,1.5,2.0,0.0,2.0,1.1,2.0
2025-07-04 20:02:04,1.0,3.0,0.0,1.5,3.0,0.0,3.0,1.7,3.0
2025-07-04 20:02:05,0.0,2.0,0.0,1.0,5.0,0.0,5.0,1.6,5.0
2025-07-04 20:02:06,0.0,2.0,0.0,1.0,5.0,0.0,5.0,1.6,5.0
2025-07-04 20:02:07,0.0,2.0,1.0,1.0,5.0,0.0,5.0,1.8,5.0
2025-07-04 20:02:08,1.0,2.0,1.0,1.5,4.0,1.0,4.0,1.9,3.0
2025-07-04 20:02:09,1.0,3.0,1.0,1.5,4.0,1.0,4.0,2.1,3.0
2025-07-04 20:02:10,0.0,3.0,1.0,1.0,4.0,0.0,4.0,1.8,4.0
2025-07-04 20:02:11,0.0,3.0,1.0,1.0,5.0,0.0,5.0,2.0,5.0
2025-07-04 20:02:12,0.0,3.0,1.0,1.0,4.0,0.0,4.0,1.8,4.0
2025-07-04 20:02:13,0.0,3.0,1.0,1.5,4.0,0.0,4.0,1.9,4.0
2025-07-04 20:02:14,1.0,2.0,0.0,1.5,7.0,0.0,7.0,2.3,7.0
2025-07-04 20:02:15,1.0,2.0,0.0,1.0,8.0,0.0,8.0,2.4,8.0
2025-07-04 20:02:16,1.0,2.0,1.0,1.0,7.0,1.0,7.0,2.4,6.0
2025-07-04 20:02:17,2.0,2.0,1.0,1.5,7.0,1.0,7.0,2.7,6.0
2025-07-04 20:02:18,2.0,2.0,1.0,1.5,7.0,1.0,7.0,2.7,6.0
2025-07-04 20:02:19,4.0,2.0,1.0,1.5,8.0,1.0,8.0,3.3,7.0
