sensor,window_start,window_end,n_samples,n_bins,u_mean,sigma_y_m,sigma_z_m,c0_ug_m3,s_eff_ug_s,fit_r2,range_m,background,fit_reason
S5,2025-07-04 23:10:00,2025-07-04 23:30:00,0,0,,,,,,,1203.2624348326622,37.5,empty_profile
S6,2025-07-04 22:15:00,2025-07-04 22:35:00,0,0,,,,,,,1507.8151211805953,6.5,empty_profile
S6,2025-07-04 22:20:00,2025-07-04 22:40:00,0,0,,,,,,,1507.8151211805953,6.5,empty_profile
S6,2025-07-04 22:25:00,2025-07-04 22:45:00,0,0,,,,,,,1507.8151211805953,6.5,empty_profile
S6,2025-07-04 22:30:00,2025-07-04 22:50:00,0,0,,,,,,,1507.8151211805953,6.5,empty_profile
S6,2025-07-04 22:35:00,2025-07-04 22:55:00,0,0,,,,,,,1507.8151211805953,6.5,empty_profile
S6,2025-07-04 22:40:00,2025-07-04 23:00:00,0,0,,,,,,,1507.8151211805953,6.5,empty_profile
S6,2025-07-04 22:45:00,2025-07-04 23:05:00,0,0,,,,,,,1507.8151211805953,6.5,empty_profile
S6,2025-07-04 22:50:00,2025-07-04 23:10:00,0,0,,,,,,,1507.8151211805953,6.5,empty_profile
S6,2025-07-04 22:55:00,2025-07-04 23:15:00,0,0,,,,,,,1507.8151211805953,6.5,empty_profile
S6,2025-07-04 23:00:00,2025-07-04 23:20:00,0,0,,,,,,,1507.8151211805953,6.5,empty_profile
S6,2025-07-04 23:05:00,2025-07-04 23:25:00,0,0,,,,,,,1507.8151211805953,6.5,empty_profile
S6,2025-07-04 23:10:00,2025-07-04 23:30:00,0,0,,,,,,,1507.8151211805953,6.5,empty_profile
