time,Q_proxy,n_used,U_bar
2025-07-04 22:20:00,0.0,0,2.972088888888889
2025-07-04 22:21:00,0.0,0,2.9235999999999995
2025-07-04 22:22:00,0.0,0,2.8819999999999997
2025-07-04 22:23:00,0.0,0,2.8473333333333333
2025-07-04 22:24:00,0.0,0,2.8265333333333333
2025-07-04 22:25:00,0.0,0,2.8195999999999994
2025-07-04 22:26:00,0.0,0,2.8265333333333333
2025-07-04 22:27:00,0.0,0,2.847333333333333
2025-07-04 22:28:00,0.0,0,2.8819999999999997
2025-07-04 22:29:00,0.0,0,2.9236
2025-07-04 22:30:00,0.0,0,2.9652000000000003
2025-07-04 22:31:00,0.0,0,2.9998666666666667
2025-07-04 22:32:00,0.0,0,3.0206666666666666
2025-07-04 22:33:00,0.0,0,3.0206666666666666
2025-07-04 22:34:00,0.0,0,2.9998666666666662
2025-07-04 22:35:00,0.0,0,2.9652
2025-07-04 22:36:00,0.0,0,2.9235999999999995
2025-07-04 22:37:00,0.0,0,2.8819999999999997
2025-07-04 22:38:00,0.0,0,2.8473333333333333
2025-07-04 22:39:00,0.0,0,2.826533333333333
