time,Q_proxy,Q
2025-07-04 22:20:00,0.2109692257950836,1163703.871529717
2025-07-04 22:21:00,0.10979531732084064,605629.7327753362
2025-07-04 22:22:00,0.038484511530553905,212280.13182138372
2025-07-04 22:23:00,0.17095848446590461,943005.0733421347
2025-07-04 22:24:00,0.3498590276035669,1929818.4527981556
2025-07-04 22:25:00,0.6515361577767298,3593866.10245619
2025-07-04 22:26:00,0.7495027210212443,4134248.5610752287
2025-07-04 22:27:00,0.8196347962963354,4521096.297793514
2025-07-04 22:28:00,0.623258144792924,3437884.90157533
2025-07-04 22:29:00,0.6101778188986657,3365733.971378508
2025-07-04 22:30:00,0.661959178480326,3651359.367173342
2025-07-04 22:31:00,0.7277172294070422,4014080.0348881455
2025-07-04 22:32:00,0.8714604072438894,4806965.783623836
2025-07-04 22:33:00,0.8585965724084649,4736009.015667344
2025-07-04 22:34:00,0.8982574755982788,4954778.110621417
2025-07-04 22:35:00,1.6767442068208902,9248902.145271871
2025-07-04 22:36:00,3.2079333466680744,17694924.18175199
2025-07-04 22:37:00,3.8676118763915435,21333703.516089015
2025-07-04 22:38:00,3.7891343911704607,20900822.592174575
2025-07-04 22:39:00,3.0289601537692734,16707710.067032404
