held_out,sigma0,K,tau,train_wrmse,scale,test_rmse,test_r2
S1,50.0,104.28571428571429,3600.0,4.434895730303786,8146466.29246468,23.11732255009388,-10.0
S2,800.0,10.0,3600.0,5.415613772460247,5030082.64233847,6.268580258228171,0.11248538889973703
S3,800.0,10.0,3600.0,5.327284276102551,5211760.115239092,6.670970573406109,-0.15742190930104893
S5,800.0,10.0,3600.0,5.669578913933088,5316518.251851442,5.082960470785847,-0.3634365974104765
S6,800.0,10.0,3600.0,5.715817701713856,5290829.789244348,4.849212985173825,-0.24572504358048453
