time,S5_pm25,S6_pm25,difference,ratio_S5_S6
2025-07-04 22:20:00,1.2666666666666666,1.5166666666666666,-0.25,0.8351648351648352
2025-07-04 22:21:00,2.433333333333333,2.35,0.08333333333333304,1.0354609929078014
2025-07-04 22:22:00,4.066666666666666,1.3333333333333333,2.7333333333333334,3.05
2025-07-04 22:23:00,2.15,1.7166666666666666,0.43333333333333335,1.2524271844660195
2025-07-04 22:24:00,2.466666666666667,0.95,1.5166666666666668,2.5964912280701755
2025-07-04 22:25:00,2.433333333333333,0.7666666666666667,1.6666666666666665,3.1739130434782603
2025-07-04 22:26:00,2.1,0.7666666666666667,1.3333333333333335,2.7391304347826084
2025-07-04 22:27:00,2.1333333333333333,2.716666666666667,-0.5833333333333335,0.7852760736196318
2025-07-04 22:28:00,2.408333333333333,4.75,-2.341666666666667,0.5070175438596491
2025-07-04 22:29:00,4.616666666666666,5.05,-0.43333333333333357,0.9141914191419142
2025-07-04 22:30:00,7.866666666666666,3.2666666666666666,4.6,2.4081632653061225
2025-07-04 22:31:00,7.4,2.1166666666666667,5.283333333333333,3.4960629921259843
2025-07-04 22:32:00,5.333333333333333,3.35,1.983333333333333,1.5920398009950247
2025-07-04 22:33:00,6.783333333333333,4.533333333333333,2.25,1.4963235294117647
2025-07-04 22:34:00,5.925,3.816666666666667,2.108333333333333,1.5524017467248907
2025-07-04 22:35:00,4.666666666666667,1.9666666666666666,2.7,2.3728813559322037
2025-07-04 22:36:00,5.075,2.216666666666667,2.8583333333333334,2.289473684210526
2025-07-04 22:37:00,5.025,2.45,2.575,2.0510204081632653
2025-07-04 22:38:00,5.5,2.85,2.65,1.9298245614035088
2025-07-04 22:39:00,5.708333333333333,1.7833333333333334,3.925,3.200934579439252
2025-07-04 22:40:00,5.675,1.4666666666666666,4.208333333333333,3.869318181818182
