sigma0,K,tau,wrmse,scale
50.0,10.0,120.0,8.416839711882744,358536.32170948246
50.0,10.0,285.7142857142857,8.368976274989521,11878801.904765543
50.0,10.0,451.42857142857144,8.164009612128542,20680267.988634888
50.0,10.0,617.1428571428571,8.040891713276794,16400641.481475027
50.0,10.0,782.8571428571429,7.971719433627738,12122967.000133768
50.0,10.0,948.5714285714287,7.928951390650542,9327193.151782792
50.0,10.0,1114.2857142857142,7.902655096806288,7507604.236748226
50.0,10.0,1280.0,7.88671192231075,6273804.76328851
50.0,10.0,1445.7142857142858,7.877208752929163,5400863.680782305
50.0,10.0,1611.4285714285716,7.8717127235990905,4759722.632250473
50.0,10.0,1777.1428571428573,7.868726320274715,4273644.83608202
50.0,10.0,1942.857142857143,7.86732371778821,3895112.2862673216
50.0,10.0,2108.5714285714284,7.866926031502576,3593553.30407016
50.0,10.0,2274.285714285714,7.867166323246796,3348611.9044605102
50.0,10.0,2440.0,7.867808819970724,3146315.7515104376
50.0,10.0,2605.714285714286,7.868700177033506,2976813.3175444286
50.0,10.0,2771.4285714285716,7.86973967094223,2832991.7332839966
50.0,10.0,2937.1428571428573,7.870860678777943,2709606.2136584446
50.0,10.0,3102.857142857143,7.872018981684373,2602716.2600313844
50.0,10.0,3268.571428571429,7.873185260056845,2509311.260535445
50.0,10.0,3434.2857142857147,7.874340205761802,2427056.1619696254
50.0,10.0,3600.0,7.87547129458052,2354115.120956519
50.0,57.142857142857146,120.0,8.411473706732544,3441336.408711498
50.0,57.142857142857146,285.7142857142857,8.34191819041159,4653362.070635499
50.0,57.142857142857146,451.42857142857144,8.230973716222715,4122265.4825259107
50.0,57.142857142857146,617.1428571428571,8.107539437746349,3775310.3894745633
50.0,57.142857142857146,782.8571428571429,7.986429735961609,3530975.300228002
50.0,57.142857142857146,948.5714285714287,7.875378475842919,3340116.9971447513
50.0,57.142857142857146,1114.2857142857142,7.77728967043745,3182501.4816236557
50.0,57.142857142857146,1280.0,7.692311306684484,3048777.5927838413
50.0,57.142857142857146,1445.7142857142858,7.619321413591603,2933701.4175487612
50.0,57.142857142857146,1611.4285714285716,7.5567692961757205,2833781.076355427
50.0,57.142857142857146,1777.1428571428573,7.503084046119471,2746424.1010805657
50.0,57.142857142857146,1942.857142857143,7.456844155729967,2669594.7862136075
50.0,57.142857142857146,2108.5714285714284,7.416829143165767,2601651.523205861
50.0,57.142857142857146,2274.285714285714,7.382018309968937,2541253.1040302454
50.0,57.142857142857146,2440.0,7.3515689583984,2487295.512395428
50.0,57.142857142857146,2605.714285714286,7.324789097539869,2438865.0353010353
50.0,57.142857142857146,2771.4285714285716,7.30111107380823,2395201.8380945656
50.0,57.142857142857146,2937.1428571428573,7.280068483882905,2355671.0999441836
50.0,57.142857142857146,3102.857142857143,7.261276891696638,2319739.951131668
50.0,57.142857142857146,3268.571428571429,7.2444181113523225,2286958.9753471254
50.0,57.142857142857146,3434.2857142857147,7.229227557703262,2256947.3357393434
50.0,57.142857142857146,3600.0,7.215484126354085,2229380.785231163
50.0,104.28571428571429,120.0,8.4108171082084,2616583.6935153343
50.0,104.28571428571429,285.7142857142857,8.353329746306827,3041279.1929276716
50.0,104.28571428571429,451.42857142857144,8.248053215760276,3112990.6959365914
50.0,104.28571428571429,617.1428571428571,8.122815340011908,3128076.1448984505
50.0,104.28571428571429,782.8571428571429,7.994141278808328,3118435.5179783343
50.0,104.28571428571429,948.5714285714287,7.871251529747276,3093239.812480113
50.0,104.28571428571429,1114.2857142857142,7.758497689111603,3058708.118074376
50.0,104.28571428571429,1280.0,7.657284567091556,3019365.4272978697
50.0,104.28571428571429,1445.7142857142858,7.567450033466012,2978254.665494846
50.0,104.28571428571429,1611.4285714285716,7.488108308575274,2937283.5285284193
50.0,104.28571428571429,1777.1428571428573,7.4181133151446055,2897573.6978535354
50.0,104.28571428571429,1942.857142857143,7.356292672777479,2859733.864330994
50.0,104.28571428571429,2108.5714285714284,7.301554600519582,2824050.4522573245
50.0,104.28571428571429,2274.285714285714,7.252928366191981,2790613.586629792
50.0,104.28571428571429,2440.0,7.209571870497983,2759397.7715428965
50.0,104.28571428571429,2605.714285714286,7.170764201403254,2730312.5807883097
50.0,104.28571428571429,2771.4285714285716,7.135892302684873,2703234.0352749685
50.0,104.28571428571429,2937.1428571428573,7.104436253371935,2678023.72547876
50.0,104.28571428571429,3102.857142857143,7.075955227662257,2654540.2252261075
50.0,104.28571428571429,3268.571428571429,7.050074967884828,2632645.6876357906
50.0,104.28571428571429,3434.2857142857147,7.026476993961137,2612209.4501953362
