held_out,sigma0,K,tau,train_wrmse,scale,test_rmse,test_r2
S1,50.0,151.42857142857144,3600.0,4.928389097243355,8314409.394670455,21.267806672416906,-10.0
S2,800.0,10.0,3600.0,5.765625590954127,5222391.865793332,6.168160772264184,0.140692701751313
S3,800.0,10.0,3600.0,5.658380255470803,5431236.51704359,6.600697383071295,-0.1331653707008409
S5,800.0,10.0,3600.0,5.668279000564983,5371984.067767236,6.572609958535714,0.1502362555232496
S6,800.0,10.0,3600.0,6.2094923213069215,5513897.5986829,4.817250233763114,-0.2293572011164573
