held_out,sigma0,K,tau,train_wrmse,scale,test_rmse,test_r2
S1,800.0,151.42857142857144,3600.0,16.426763746893638,1415004.4919726201,6.19824113548838,-0.7352497406030314
S2,800.0,104.28571428571429,3600.0,16.349949064357904,1015983.4275536273,10.629396949242105,-1.551845531059842
S3,800.0,104.28571428571429,3600.0,16.36708702598015,1156206.84289927,9.776784905840042,-1.4860265953352618
S4,800.0,10.0,3600.0,5.933052520881108,9401990.78260948,19.65347809736761,-0.3203905653984267
S5,800.0,57.142857142857146,3600.0,16.372510275887056,998597.7811534854,9.507563857521857,-0.7781196396548262
S6,800.0,57.142857142857146,3600.0,16.426457027894653,1154296.922462768,6.186973994201324,-1.0278520103141315
