sigma0,K,tau,wrmse,scale
800.0,340.0,3600.0,21.34355949417361,12806297.951573083
800.0,387.14285714285717,3600.0,21.344432142345195,13435351.23298031
800.0,292.8571428571429,3600.0,21.344802534220552,12136679.228584815
800.0,434.28571428571433,3600.0,21.346686129635426,14031301.314313838
800.0,245.71428571428572,3600.0,21.349383797647267,11415779.812971197
800.0,481.42857142857144,3600.0,21.349858005960392,14599585.925343873
800.0,528.5714285714286,3600.0,21.35364405090053,15144309.104470946
800.0,575.7142857142858,3600.0,21.3578392990643,15668656.33653892
800.0,198.57142857142858,3600.0,21.3594793136384,10627247.335123915
800.0,622.8571428571429,3600.0,21.36230220864674,16175157.424797002
800.0,670.0,3600.0,21.366933257194937,16665860.151044304
800.0,340.0,3434.2857142857147,21.369356280628207,12873731.25908624
800.0,387.14285714285717,3434.2857142857147,21.370352393737594,13502319.302247124
800.0,292.8571428571429,3434.2857142857147,21.370408363010807,12204563.03183294
800.0,717.1428571428572,3600.0,21.37166148855233,17142449.093804263
800.0,434.28571428571433,3434.2857142857147,21.372682187269017,14097798.511887513
800.0,245.71428571428572,3434.2857142857147,21.37469968139867,11484083.089401888
800.0,481.42857142857144,3434.2857142857147,21.375895318362286,14665611.87185852
800.0,764.2857142857143,3600.0,21.376435791708253,17606329.35875041
800.0,151.42857142857144,3600.0,21.379348915197333,9743870.549063638
800.0,528.5714285714286,3434.2857142857147,21.379697059325615,15209866.48601177
800.0,811.4285714285714,3600.0,21.381219096357487,18058687.088908046
800.0,575.7142857142858,3434.2857142857147,21.383888802410556,15733749.610924268
800.0,198.57142857142858,3434.2857142857147,21.384352932044994,10695908.402649859
800.0,858.5714285714287,3600.0,21.38598442121976,18500534.15693841
800.0,622.8571428571429,3434.2857142857147,21.38833361198522,16239792.033891063
800.0,905.7142857142858,3600.0,21.39071213035455,18932741.808167063
800.0,670.0,3434.2857142857147,21.39293537137835,16730042.031118624
764.2857142857143,387.14285714285717,3600.0,21.393797032079146,12757690.7517851
764.2857142857143,434.28571428571433,3600.0,21.394503911703914,13335958.68679139
764.2857142857143,340.0,3600.0,21.39473521193161,12147483.576300481
800.0,952.8571428571429,3600.0,21.395387995237922,19356066.413871616
764.2857142857143,481.42857142857144,3600.0,21.396330334757515,13887548.254166475
800.0,340.0,3268.571428571429,21.397488590660515,12945813.316220013
800.0,717.1428571428572,3434.2857142857147,21.39762568606554,17206184.367273588
764.2857142857143,292.8571428571429,3600.0,21.398145802313703,11498112.935926752
800.0,292.8571428571429,3268.571428571429,21.398359475069874,12277166.451839734
800.0,387.14285714285717,3268.571428571429,21.398596228918645,13573870.805489691
764.2857142857143,528.5714285714286,3600.0,21.398929366237052,14416427.78467289
800.0,1000.0,3600.0,21.40000180519913,19771169.480443936
800.0,434.28571428571433,3268.571428571429,21.400988680740337,14168818.479708994
764.2857142857143,575.7142857142858,3600.0,21.40206490000046,14925675.914568508
800.0,764.2857142857143,3434.2857142857147,21.402355399889025,17669624.13921143
800.0,245.71428571428572,3268.571428571429,21.402366744395902,11557183.548297983
800.0,151.42857142857144,3434.2857142857147,21.40352906523493,9812764.960179176
800.0,481.42857142857144,3268.571428571429,21.404229296151374,14736103.86425983
764.2857142857143,245.71428571428572,3600.0,21.405398401246565,10799197.450418001
764.2857142857143,622.8571428571429,3600.0,21.405572306292466,15417736.526229506
800.0,811.4285714285714,3434.2857142857147,21.407088952932742,18121547.358448703
800.0,528.5714285714286,3268.571428571429,21.40803270368493,15279836.556901015
764.2857142857143,670.0,3600.0,21.409334529676777,15894587.080546133
800.0,198.57142857142858,3268.571428571429,21.411576661052596,10769452.379164295
800.0,858.5714285714287,3434.2857142857147,21.411800543352342,18562965.69029803
800.0,575.7142857142858,3268.571428571429,21.412206883141234,15803205.121653004
764.2857142857143,717.1428571428572,3600.0,21.41326702369306,16357853.735506173
800.0,905.7142857142858,3434.2857142857147,21.416471464642274,18994750.127632286
800.0,622.8571428571429,3268.571428571429,21.416619651794456,16308740.94815901
764.2857142857143,764.2857142857143,3600.0,21.41730795460886,16808892.434793204
800.0,104.28571428571429,3600.0,21.418650800385947,8713869.784030689
