sigma0,K,tau,wrmse,scale
50.0,10.0,120.0,23.771385840010378,67653.80210480634
50.0,10.0,285.7142857142857,23.77129217638986,631184.5535672746
50.0,10.0,451.42857142857144,23.771159365690515,401845.80541565194
50.0,10.0,617.1428571428571,23.7710106333933,284504.1938676743
50.0,10.0,782.8571428571429,23.77086761269428,221862.2867474749
50.0,10.0,948.5714285714287,23.770744138788963,182811.55611775877
50.0,10.0,1114.2857142857142,23.77064297396315,156200.10794836868
50.0,10.0,1280.0,23.770561732510778,137040.60185709724
50.0,10.0,1445.7142857142858,23.770496693975364,122701.64604019668
50.0,10.0,1611.4285714285716,23.770444351526482,111644.290317299
50.0,10.0,1777.1428571428573,23.77040184000861,102906.93239815539
50.0,10.0,1942.857142857143,23.770366943400727,95860.02760938772
50.0,10.0,2108.5714285714284,23.770337982424472,90076.3407922396
50.0,10.0,2274.285714285714,23.770313690373452,85257.2644362621
50.0,10.0,2440.0,23.770293108654737,81188.7927961376
50.0,10.0,2605.714285714286,23.770275506628746,77714.166341626
50.0,10.0,2771.4285714285716,23.770260322336572,74716.32272516511
50.0,10.0,2937.1428571428573,23.77024711928249,72106.3285473928
50.0,10.0,3102.857142857143,23.770235555009982,69815.570163952
50.0,10.0,3268.571428571429,23.770225358181676,67790.36934188583
50.0,10.0,3434.2857142857147,23.770216311756627,65988.19946535704
50.0,10.0,3600.0,23.770208240544342,64374.98020101622
50.0,57.142857142857146,120.0,23.7713495180487,347954.21483823383
50.0,57.142857142857146,285.7142857142857,23.77054703793946,367536.3308677009
50.0,57.142857142857146,451.42857142857144,23.76779661324678,411184.5338195336
50.0,57.142857142857146,617.1428571428571,23.762771704066672,451989.316895524
50.0,57.142857142857146,782.8571428571429,23.755953198723756,483130.0089974262
50.0,57.142857142857146,948.5714285714287,23.748101313084753,504981.27305082226
50.0,57.142857142857146,1114.2857142857142,23.739876515664264,519584.0635456683
50.0,57.142857142857146,1280.0,23.731730327857875,528943.9155556766
50.0,57.142857142857146,1445.7142857142858,23.723928535889712,534632.0663282335
50.0,57.142857142857146,1611.4285714285716,23.716606038283828,537786.5727984982
50.0,57.142857142857146,1777.1428571428573,23.709815313234014,539206.17802964
50.0,57.142857142857146,1942.857142857143,23.70356068647739,539444.8237011427
50.0,57.142857142857146,2108.5714285714284,23.697820311738734,538885.5550804475
50.0,57.142857142857146,2274.285714285714,23.692559519019262,537793.5676969612
50.0,57.142857142857146,2440.0,23.687738605682174,536352.9841553792
50.0,57.142857142857146,2605.714285714286,23.683317207826136,534692.0143126461
50.0,57.142857142857146,2771.4285714285716,23.67925662481214,532900.1177022593
50.0,57.142857142857146,2937.1428571428573,23.67552094482508,531039.7389207336
50.0,57.142857142857146,3102.857142857143,23.672077483872066,529154.3741947869
50.0,57.142857142857146,3268.571428571429,23.668896843577215,527274.1529840428
50.0,57.142857142857146,3434.2857142857147,23.66595276764477,525419.7280459584
50.0,57.142857142857146,3600.0,23.663221901560753,523605.00638814125
50.0,104.28571428571429,120.0,23.771175399160477,537509.5063333021
50.0,104.28571428571429,285.7142857142857,23.76745727592271,635633.7414036292
50.0,104.28571428571429,451.42857142857144,23.75759566065111,720021.6078504071
50.0,104.28571428571429,617.1428571428571,23.74230469997123,790011.8476303915
50.0,104.28571428571429,782.8571428571429,23.723425426584456,844490.4206856886
50.0,104.28571428571429,948.5714285714287,23.70281840992946,885313.8913102715
50.0,104.28571428571429,1114.2857142857142,23.681881931164735,915291.0065213499
50.0,104.28571428571429,1280.0,23.661503874170094,937059.0697577493
50.0,104.28571428571429,1445.7142857142858,23.642177368400567,952745.5948997056
50.0,104.28571428571429,1611.4285714285716,23.624132691176232,963962.3982767295
50.0,104.28571428571429,1777.1428571428573,23.60743955843865,971897.9786644367
50.0,104.28571428571429,1942.857142857143,23.592076044802287,977419.6968160925
50.0,104.28571428571429,2108.5714285714284,23.577971849172407,981159.3995262196
50.0,104.28571428571429,2274.285714285714,23.565034274913483,983578.5811209972
50.0,104.28571428571429,2440.0,23.553163267208156,985015.9745690686
50.0,104.28571428571429,2605.714285714286,23.542259759904475,985721.7016623734
50.0,104.28571428571429,2771.4285714285716,23.532230026392273,985881.630937429
50.0,104.28571428571429,2937.1428571428573,23.522987692298038,985634.7546544151
50.0,104.28571428571429,3102.857142857143,23.514454412466094,985085.6311349332
50.0,104.28571428571429,3268.571428571429,23.506559811106793,984313.343879789
50.0,104.28571428571429,3434.2857142857147,23.499241038858383,983377.9956480131
50.0,104.28571428571429,3600.0,23.492442152804646,982325.4495370956
50.0,151.42857142857144,120.0,23.77072893698624,757583.7651723674
50.0,151.42857142857144,285.7142857142857,23.76216176613971,903865.1666259427
50.0,151.42857142857144,451.42857142857144,23.743514366461493,1010166.8863510139
50.0,151.42857142857144,617.1428571428571,23.717625959108304,1096392.384152554
50.0,151.42857142857144,782.8571428571429,23.687635370723306,1164285.1045044868
50.0,151.42857142857144,948.5714285714287,23.65612028527652,1216386.8352198987
50.0,151.42857142857144,1114.2857142857142,23.62484184750688,1255819.6362217898
50.0,151.42857142857144,1280.0,23.594845551456675,1285480.9209140749
50.0,151.42857142857144,1445.7142857142858,23.566668598348514,1307742.5529145931
50.0,151.42857142857144,1611.4285714285716,23.54052548880226,1324437.7386000375
50.0,151.42857142857144,1777.1428571428573,23.516440834844236,1336946.8242736503
50.0,151.42857142857144,1942.857142857143,23.494335265010648,1346298.36417661
50.0,151.42857142857144,2108.5714285714284,23.474077910188676,1353257.117320554
50.0,151.42857142857144,2274.285714285714,23.455517192071845,1358393.0252246645
50.0,151.42857142857144,2440.0,23.438498184173227,1362132.861006472
50.0,151.42857142857144,2605.714285714286,23.422871902043134,1364798.1135163235
50.0,151.42857142857144,2771.4285714285716,23.408499848975914,1366632.550664387
50.0,151.42857142857144,2937.1428571428573,23.395255835156092,1367822.247090563
50.0,151.42857142857144,3102.857142857143,23.383026276467003,1368510.1729878027
50.0,151.42857142857144,3268.571428571429,23.371709685386413,1368806.871323243
50.0,151.42857142857144,3434.2857142857147,23.361215769258248,1368798.3189830794
