held_out,sigma0,K,tau,train_wrmse,scale,test_rmse,test_r2
S1,800.0,340.0,3600.0,21.592136833615232,13151995.837706009,10.26934386233771,-3.763327525775985
S2,800.0,387.14285714285717,3600.0,21.63295511551098,13495152.128088944,6.808359845573514,-0.04694082109526976
S3,800.0,387.14285714285717,3600.0,21.60767760556442,13575220.285193264,9.088967345298302,-1.1485364969400975
S4,800.0,10.0,3600.0,17.1138927371081,15810101.112452015,39.154618371588015,-4.240703204608019
S5,800.0,57.142857142857146,3600.0,15.853464194097432,699218.9675905203,30.343572715874714,
S6,800.0,387.14285714285717,3600.0,21.636937276055143,13533296.456331953,6.381495664074588,-1.1573699915927347
