time,Q_proxy,Q
2025-07-04 22:20:00,0.4921945662370685,6303190.265377172
2025-07-04 22:21:00,0.433779360114756,5555107.730872283
2025-07-04 22:22:00,0.43114411645931394,5521360.015445699
2025-07-04 22:23:00,0.6311724904502314,8082982.97154208
2025-07-04 22:24:00,0.8968493036836875,11485319.400634153
2025-07-04 22:25:00,1.2003011052750918,15371413.585755317
2025-07-04 22:26:00,1.4133295164947115,18099518.891984
2025-07-04 22:27:00,1.5996935376659271,20486152.074555863
2025-07-04 22:28:00,1.6251856497461996,20812611.657270726
2025-07-04 22:29:00,1.6847814948636717,21575813.806520876
2025-07-04 22:30:00,1.746308740549535,22363750.04691368
2025-07-04 22:31:00,1.765323723007647,22607261.5778162
2025-07-04 22:32:00,1.809090050251784,23167746.20475067
2025-07-04 22:33:00,1.705364962572613,21839411.826878164
2025-07-04 22:34:00,1.6534073428213603,21174027.06748908
2025-07-04 22:35:00,2.191051376151133,28059256.75019564
2025-07-04 22:36:00,3.3222158958253525,42545286.62139174
2025-07-04 22:37:00,3.7915832177139133,48556144.39422857
2025-07-04 22:38:00,3.691625607892811,47276057.460332446
2025-07-04 22:39:00,3.0863085404337234,39524186.739278905
