sigma0,K,tau,wrmse,scale
50.0,10.0,120.0,28.968903372834514,126720.81995577757
50.0,10.0,285.7142857142857,28.966945599390584,4732993.939378838
50.0,10.0,451.42857142857144,28.958433487378315,7746902.829489108
50.0,10.0,617.1428571428571,28.951641744616502,6157187.7531137485
50.0,10.0,782.8571428571429,28.946120913869454,4716869.822559235
50.0,10.0,948.5714285714287,28.941676431896187,3760034.3526281505
50.0,10.0,1114.2857142857142,28.938208182250563,3116381.8515311065
50.0,10.0,1280.0,28.935528590743292,2665697.381474991
50.0,10.0,1445.7142857142858,28.93345001690191,2337882.7599472892
50.0,10.0,1611.4285714285716,28.931820214040528,2091493.006678482
50.0,10.0,1777.1428571428573,28.93052500680824,1901078.981585116
50.0,10.0,1942.857142857143,28.929481155855697,1750404.215926448
50.0,10.0,2108.5714285714284,28.92862832953629,1628743.3633578392
50.0,10.0,2274.285714285714,28.927922593402442,1528789.2450669925
50.0,10.0,2440.0,28.927331642023223,1445425.472644614
50.0,10.0,2605.714285714286,28.926831436550106,1374981.765264146
50.0,10.0,2771.4285714285716,28.926403861512167,1314767.9163880402
50.0,10.0,2937.1428571428573,28.926035091306403,1262773.8537285333
50.0,10.0,3102.857142857143,28.925714444074057,1217471.6425845798
50.0,10.0,3268.571428571429,28.925433569870155,1177681.7504519024
50.0,10.0,3434.2857142857147,28.92518586929783,1142480.8159812014
50.0,10.0,3600.0,28.924966072371504,1111136.8252840533
50.0,57.142857142857146,120.0,28.968100396945076,2604049.1456472953
50.0,57.142857142857146,285.7142857142857,28.93398584290018,5703373.022584265
50.0,57.142857142857146,451.42857142857144,28.808414048909512,6660504.052288757
50.0,57.142857142857146,617.1428571428571,28.58150299830922,7189480.230526902
50.0,57.142857142857146,782.8571428571429,28.286824745308298,7416111.579036937
50.0,57.142857142857146,948.5714285714287,27.967012486357746,7437852.633496517
50.0,57.142857142857146,1114.2857142857142,27.653443286505237,7337500.3773436565
50.0,57.142857142857146,1280.0,27.363255808645977,7173228.289506953
50.0,57.142857142857146,1445.7142857142858,27.10324505819322,6981381.554281625
50.0,57.142857142857146,1611.4285714285716,26.87424924130092,6782973.897193754
50.0,57.142857142857146,1777.1428571428573,26.674209415397033,6589367.40550381
50.0,57.142857142857146,1942.857142857143,26.49993921244736,6406203.828427292
50.0,57.142857142857146,2108.5714285714284,26.348036094602893,6235867.224483791
50.0,57.142857142857146,2274.285714285714,26.215300705936933,6078951.072290129
50.0,57.142857142857146,2440.0,26.09889768701647,5935107.853410008
50.0,57.142857142857146,2605.714285714286,25.996389904745502,5803531.528040996
50.0,57.142857142857146,2771.4285714285716,25.90571594256735,5683226.443593193
50.0,57.142857142857146,2937.1428571428573,25.8251460556922,5573153.481139624
50.0,57.142857142857146,3102.857142857143,25.753233435826907,5472306.238560132
50.0,57.142857142857146,3268.571428571429,25.688768235260223,5379747.716198634
50.0,57.142857142857146,3434.2857142857147,25.63073715136901,5294625.022876684
50.0,57.142857142857146,3600.0,25.578289172037337,5216172.149270291
50.0,104.28571428571429,120.0,28.962529510903348,5248522.845884595
50.0,104.28571428571429,285.7142857142857,28.814389509263865,8540915.886059485
50.0,104.28571428571429,451.42857142857144,28.430753684458864,9485151.048898704
50.0,104.28571428571429,617.1428571428571,27.885850825183375,9782536.333266811
50.0,104.28571428571429,782.8571428571429,27.278717639917925,9748443.635382092
50.0,104.28571428571429,948.5714285714287,26.681433708420812,9541922.897942454
50.0,104.28571428571429,1114.2857142857142,26.13256121665605,9256693.477093464
50.0,104.28571428571429,1280.0,25.646623927162466,8946001.68416905
50.0,104.28571428571429,1445.7142857142858,25.224682734032978,8638115.937407589
50.0,104.28571428571429,1611.4285714285716,24.861566227782767,8346763.812485368
50.0,104.28571428571429,1777.1428571428573,24.549917531341073,8077630.491744424
50.0,104.28571428571429,1942.857142857143,24.282181585295557,7832154.3212467125
50.0,104.28571428571429,2108.5714285714284,24.05145484875537,7609653.035498698
50.0,104.28571428571429,2274.285714285714,23.851764082360084,7408480.02540587
50.0,104.28571428571429,2440.0,23.678082290249193,7226636.019333304
50.0,104.28571428571429,2605.714285714286,23.526237699731304,7062081.213774771
50.0,104.28571428571429,2771.4285714285716,23.39279015183165,6912885.125068583
50.0,104.28571428571429,2937.1428571428573,23.274907936013758,6777289.955776439
50.0,104.28571428571429,3102.857142857143,23.17025798877101,6653728.972865675
50.0,104.28571428571429,3268.571428571429,23.076913027138445,6540822.454813474
50.0,104.28571428571429,3434.2857142857147,22.993275137848226,6437363.349095689
50.0,104.28571428571429,3600.0,22.9180138217486,6342299.0657077255
50.0,151.42857142857144,120.0,28.94834162421572,7576594.584832732
50.0,151.42857142857144,285.7142857142857,28.636267302375337,10804708.097527523
50.0,151.42857142857144,451.42857142857144,28.02059522888804,11276653.521679264
50.0,151.42857142857144,617.1428571428571,27.279779741917434,11139549.64187479
50.0,151.42857142857144,782.8571428571429,26.530301017579696,10801904.856827103
50.0,151.42857142857144,948.5714285714287,25.83265168309604,10401790.08289144
50.0,151.42857142857144,1114.2857142857142,25.211284087402085,9997342.390174055
50.0,151.42857142857144,1280.0,24.670522866879104,9614091.886890767
50.0,151.42857142857144,1445.7142857142858,24.205087687756755,9262101.205072988
50.0,151.42857142857144,1611.4285714285716,23.806056639434214,8943857.81770648
50.0,151.42857142857144,1777.1428571428573,23.46385701363615,8658262.299084028
50.0,151.42857142857144,1942.857142857143,23.169585898922445,8402677.179494847
50.0,151.42857142857144,2108.5714285714284,22.91547910201549,8173962.250646054
50.0,151.42857142857144,2274.285714285714,22.694980868354424,7968977.042361273
50.0,151.42857142857144,2440.0,22.50264613166635,7784806.006278984
50.0,151.42857142857144,2605.714285714286,22.333987095028416,7618842.248962223
50.0,151.42857142857144,2771.4285714285716,22.185314563431177,7468801.548737844
50.0,151.42857142857144,2937.1428571428573,22.0535943688804,7332704.143840231
